Transaction Date & Time,Transaction Amount,Transaction Type,Currency,Customer Age,Customer Occupation,Account Balance,Average Transaction Amount,Transaction Frequency,Account Tenure,Country of Origin,Country of Destination,Third-Party Involvement,Linked Accounts,PEP Status,Suspicious
2024-01-14 07:58:35,87645.05,Cash Deposit,NGN,66,Engineer,769870.01,40323.63,41,5,China,Nigeria,1,1,0,0
2024-04-09 04:24:36,88111.02,Cash Deposit,GBP,70,Teacher,649606.34,32297.1,55,18,Germany,Nigeria,1,0,1,1
2024-10-10 19:05:17,94909.28,Online Payment,GBP,58,Business Owner,8047.39,44217.3,48,22,China,China,1,0,0,0
2024-06-09 23:59:39,62617.2,Online Payment,EUR,31,Doctor,238878.44,21646.86,42,16,China,Germany,1,1,1,0
2024-09-05 02:22:51,90004.16,Wire Transfer,GBP,75,Teacher,548605.44,2499.94,85,27,UK,Nigeria,1,0,0,0
2024-10-17 11:21:36,8371.79,Online Payment,EUR,68,Lawyer,119437.77,4571.5,56,5,China,UK,0,1,0,0
2024-03-08 08:49:41,41105.36,Online Payment,USD,55,Teacher,692578.62,18005.92,15,19,China,China,1,0,1,0
2024-05-16 09:33:53,49921.68,Withdrawal,GBP,31,Business Owner,967103.03,15811.5,76,21,USA,UK,0,1,0,0
2024-09-26 01:50:38,19379.24,Withdrawal,USD,27,Teacher,9673.3,18459.57,77,14,Germany,USA,0,1,0,0
2024-04-20 21:02:25,85117.86,Withdrawal,USD,73,Engineer,211452.78,49669.95,91,16,Germany,China,1,1,0,1
2024-06-21 06:21:38,81125.72,Online Payment,USD,70,Lawyer,214119.32,30167.11,44,16,Germany,Nigeria,0,0,1,0
2024-09-09 00:18:41,37101.95,Wire Transfer,EUR,42,Teacher,951996.26,20802.14,39,14,China,Nigeria,0,1,1,0
2024-06-20 20:28:28,17289.26,Online Payment,GBP,24,Teacher,809308.91,35185.36,27,15,UK,UK,1,1,0,0
2024-05-04 05:56:10,63509.34,Withdrawal,GBP,24,Lawyer,633051.7,22454.43,70,11,China,Nigeria,1,1,0,0
2024-03-29 22:03:58,85681.18,Wire Transfer,NGN,20,Business Owner,897264.11,6594.48,32,23,China,USA,1,0,0,0
2024-01-20 08:43:48,711.25,Online Payment,NGN,62,Engineer,297954.36,16753.46,6,18,Germany,China,1,1,1,1
2024-05-07 18:50:01,60355.36,Withdrawal,NGN,51,Doctor,413115.19,39334.29,82,7,UK,China,1,1,1,0
2024-01-12 14:31:34,40146.08,Wire Transfer,USD,47,Teacher,642483.52,27598.29,61,27,UK,Germany,1,1,0,0
2024-07-21 17:55:01,8978.13,Wire Transfer,EUR,38,Teacher,305207.41,33746.89,38,4,Nigeria,Nigeria,1,0,1,0
2024-03-11 08:34:00,68701.02,Withdrawal,GBP,63,Engineer,194987.84,41288.37,58,3,Nigeria,UK,0,1,1,0
